timestamp_ms,adc_raw,temp_c
28,1,-77.3
1028,7,-56.4
2028,1,-77.3
3028,7,-56.4
4028,2,-70.4
5028,0,-77.3
6028,0,-77.3
7028,0,-77.3
8028,0,-77.3
9028,0,-77.3
10028,58,-27.1
11028,0,-77.3
12028,1,-77.3
13028,1,-77.3
14028,38,-33.8
15028,61,-26.3
16028,5,-60.3
17028,0,-77.3
18028,8,-54.8
19028,0,-77.3
20028,0,-77.3
21028,0,-77.3
22028,0,-77.3
23028,0,-77.3
24028,0,-77.3
25028,0,-77.3
26028,0,-77.3
27028,0,-77.3
28028,0,-77.3
29028,0,-77.3
30028,0,-77.3
31028,0,-77.3
32028,0,-77.3
33028,0,-77.3
34028,0,-77.3
35028,0,-77.3
36028,0,-77.3
37028,0,-77.3
38028,0,-77.3
39028,0,-77.3
40028,0,-77.3
41028,0,-77.3
42028,0,-77.3
43028,0,-77.3
44028,0,-77.3
45028,0,-77.3
46028,0,-77.3
47028,0,-77.3
48028,0,-77.3
